premis_code,premis_description
219,CLEANER/LAUNDROMAT
220,NAIL SALON
221,PUBLIC STORAGE
222,LAUNDROMAT
229,CHECK CASHING*
230,DAY CARE/ADULTS*
231,DAY CARE/CHILDREN*
232,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*"
233,TATTOO PARLOR*
234,OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*
235,PHARMACY INSIDE STORE OR SUPERMARKET*
236,VISION CARE FACILITY*
237,HOSPICE
238,TELECOMMUNICATION FACILITY/LOCATION
239,MEDICAL MARIJUANA FACILITIES/BUSINESSES
241,ENERGY PLANT/FACILITY
242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC."
243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)"
244,TOBACCO SHOP
247,CAR WASH
248,CELL PHONE STORE
249,NURSERY/FLOWER SHOP
251,RECYCLING CENTER
252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)"
253,MORTUARY
254,STUDIO (FILM/PHOTOGRAPHIC/MUSIC)
255,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)"
256,
301,GAS STATION
302,FACTORY
303,OIL REFINERY
401,MINI-MART
402,MARKET
403,DRUG STORE
404,DEPARTMENT STORE
405,CLOTHING STORE
406,OTHER STORE
407,HARDWARE/BUILDING SUPPLY
408,AUTO SUPPLY STORE*
409,BEAUTY SUPPLY STORE
410,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*"
411,PET STORE
412,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)"
413,FURNITURE STORE
415,THE GROVE
416,THE BEVERLY CENTER
417,THE BEVERLY CONNECTION
418,
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
503,HOTEL
504,OTHER RESIDENCE
505,MOTEL
506,ABANDONED BUILDING ABANDONED HOUSE
507,CONDOMINIUM/TOWNHOUSE
508,FRAT HOUSE/SORORITY/DORMITORY
509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME
510,NURSING/CONVALESCENT/RETIREMENT HOME
511,PROJECT/TENEMENT/PUBLIC HOUSING
512,FOSTER HOME BOYS OR GIRLS*
514,GROUP HOME
515,APARTMENT/CONDO COMMON LAUNDRY ROOM
516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS
517,MISSIONS/SHELTERS
518,TRANSITIONAL HOUSING/HALFWAY HOUSE
519,SHORT-TERM VACATION RENTAL
601,SAVINGS & LOAN
602,BANK
603,CREDIT UNION
604,FINANCE COMPANY
605,AUTOMATED TELLER MACHINE (ATM)
606,DRIVE THRU BANKING (WINDOW)*
607,BANKING INSIDE MARKET-STORE *
701,HOSPITAL
702,OFFICE BUILDING/OFFICE
703,ENTERTAINMENT/COMEDY CLUB (OTHER)
704,ELEMENTARY SCHOOL
705,SLIPS/DOCK/MARINA/BOAT
706,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB
707,GARAGE/CARPORT
708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)
709,PUBLIC RESTROOM(INDOORS-INSIDE)
710,OTHER PREMISE
712,COLISEUM
713,CONVENTION CENTER
716,THEATRE/MOVIE
717,HEALTH SPA/GYM
718,MASSAGE PARLOR
719,MEDICAL/DENTAL OFFICES
720,JUNIOR HIGH SCHOOL
721,HIGH SCHOOL
722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY
723,PRIVATE SCHOOL/PRESCHOOL
724,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*
725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
726,POLICE FACILITY
727,SHOPPING MALL (COMMON AREA)
728,ELEVATOR
729,SPECIALTY SCHOOL/OTHER
730,SYNAGOGUE/TEMPLE
732,POST OFFICE
733,BAR/SPORTS BAR (OPEN DAY & NIGHT)
735,NIGHT CLUB (OPEN EVENINGS ONLY)
736,SKATEBOARD FACILITY/SKATEBOARD PARK*
737,SKATING RINK*
738,LIBRARY
740,OTHER PLACE OF WORSHIP
741,STAPLES CENTER *
742,"SPORTS VENUE, OTHER"
744,HIGH-RISE BUILDING
745,WATER FACILITY
750,CYBERSPACE
751,WEBSITE
752,FIRE STATION
753,DETENTION/JAIL FACILITY
754,MUSEUM
755,VETERINARIAN/ANIMAL HOSPITAL
757,BASKETBALL COURTS
758,HANDBALL COURTS
801,MTA BUS
802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH
804,GREYHOUND OR INTERSTATE BUS
809,METROLINK TRAIN
811,"OTHER RR TRAIN (UNION PAC, SANTE FE ETC"
834,LA UNION STATION (NOT LINE SPECIFIC)
835,7TH AND METRO CENTER (NOT LINE SPECIFIC)
868,MTA - ORANGE LINE - NORTH HOLLYWOOD
876,MTA - ORANGE LINE - RESEDA
877,MTA - ORANGE LINE - TAMPA
885,MTA - ORANGE LINE - CHATSWORTH
895,MTA - SILVER LINE - HARBOR FWY
896,MTA - SILVER LINE - ROSECRANS
897,MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CTR
900,MTA - RED LINE - UNION STATION
901,MTA - RED LINE - CIVIC CENTER/GRAND PARK
902,MTA - RED LINE - PERSHING SQUARE
